CHR,P
5,0.16
5,0.357
5,0.399
5,0.668
5,0.108
19,0.416
5,0.241
5,0.015
5,0.014
19,0.162
12,0.184
5,0.059
5,0.059
5,0.526
5,0.767
5,0.129
20,0.302
5,0.043
5,1.006
17,0.485
17,0.177
17,0.545
5,0.339
20,0.492
5,0.446
5,0.199
5,0.611
5,0.563
17,0.014
5,0.198
5,0.718
5,1.398
5,1.219
5,1.4
5,0.11
5,0.044
5,0.434
5,0.587
5,0.044
5,0.491
5,0.719
11,0.058
5,0.286
22,0.073
23,0.278
5,-0.0
5,0.831
5,0.339
5,0.238
5,0.34
5,0.737
8,0.145
5,1.428
5,0.576
5,0.059
5,0.737
17,0.308
5,0.83
5,2.802
5,0.146
5,0.029
5,0.753
5,0.957
5,0.999
5,0.148
4,0.323
5,0.576
5,0.469
5,0.4
18,0.915
5,0.105
5,0.723
5,0.126
5,0.158
5,0.419
5,1.683
5,0.321
15,0.302
5,0.678
20,0.165
5,0.2
5,2.042
5,0.029
12,0.731
5,0.42
5,0.304
5,0.593
5,0.075
18,0.422
5,0.556
2,0.889
5,0.394
5,0.295
5,0.501
5,0.076
5,0.215
5,0.576
5,0.263
5,0.074
7,0.942
3,0.18
15,0.028
5,0.029
5,1.158
9,0.163
5,0.37
5,0.685
5,0.451
5,0.125
5,0.276
5,0.306
5,0.029
5,0.341
5,0.202
5,0.559
5,0.194
5,0.417
23,0.051
5,0.441
5,0.438
5,0.261
5,0.576
5,0.382
19,0.125
5,0.044
13,0.123
2,0.146
5,0.262
2,0.464
5,0.494
5,0.348
2,1.122
5,0.5
5,0.238
5,0.417
4,1.495
5,0.198
5,1.699
5,1.466
5,0.073
5,1.147
5,-0.0
17,0.107
5,0.842
5,0.8
5,0.542
5,0.104
5,0.388
5,0.638
18,0.282
5,0.126
10,0.401
5,0.09
5,0.372
10,0.059
5,-0.0
5,0.014
5,1.171
5,0.261
5,0.089
5,0.014
16,0.123
5,0.144
5,0.5
5,0.232
5,0.469
5,0.655
5,0.346
5,0.556
5,0.487
5,0.142
5,0.585
5,0.721
5,0.432
5,0.263
21,0.809
21,0.014
5,0.237
5,0.215
5,0.789
5,0.09
5,0.276
17,-0.0
14,0.107
5,0.043
5,0.124
5,0.145
9,0.37
5,0.138
5,0.997
5,0.09
5,-0.0
5,0.014
5,0.386
5,0.95
5,0.437
7,0.16
1,0.028
5,0.506
5,0.439
5,0.466
13,0.283
5,0.194
5,0.107
5,0.029
5,0.014
1,0.467
5,0.871
5,0.22
5,0.043
5,0.438
5,0.199
5,0.091
5,0.608
5,0.143
5,0.26
6,0.47
21,0.274
5,0.014
5,0.22
5,0.111
5,0.77
23,0.509
5,0.368
5,0.277
5,0.651
23,0.191
5,0.231
5,0.107
7,0.112
5,0.091
5,0.662
17,0.473
5,0.043
5,0.138
5,0.093
17,0.925
5,0.596
5,0.18
5,0.029
7,0.286
5,0.671
5,0.059
5,0.28
19,1.214
5,0.919
5,0.094
15,0.408
5,0.228
5,0.433
17,0.653
5,0.043
6,0.345
2,0.092
5,0.49
5,0.542
5,0.111
5,0.514
5,0.325
20,0.534
3,0.14
5,0.242
5,1.884
18,-0.0
5,0.725
5,0.357
5,0.044
5,0.512
5,0.143
5,0.644
14,0.014
7,0.074
6,0.399
2,0.608
5,0.014
5,0.283
5,0.258
5,0.963
5,0.372
2,0.344
14,1.402
9,0.193
10,0.454
11,0.164
6,0.265
6,0.255
7,0.659
7,0.311
7,0.014
7,0.179
8,0.471
8,0.218
14,0.043
6,0.764
10,0.286
10,0.24
12,0.443
6,0.089
6,0.158
12,0.074
12,0.526
12,0.141
12,0.274
14,0.325
18,0.762
18,0.014
18,0.108
18,0.186
18,0.059
18,0.444
19,0.512
2,0.629
2,0.677
20,0.076
7,0.18
6,0.305
22,0.043
3,0.144
3,0.161
4,0.549
4,1.156
5,0.537
6,0.125
6,0.179
7,0.633
7,2.344
5,0.326
17,0.091
2,0.108
8,1.852
8,0.79
8,0.107
4,0.181
22,0.161
6,0.869
8,0.144
1,0.2
8,0.996
8,0.41
16,0.107
10,0.044
8,1.188
8,0.601
8,0.242
8,0.126
13,0.029
8,0.123
8,-0.0
8,0.379
8,0.309
8,0.16
8,0.299
8,0.329
8,0.145
8,0.761
8,0.374
8,0.091
8,0.353
8,0.06
8,0.518
8,0.325
8,1.955
8,0.219
8,-0.0
8,0.365
8,0.123
8,0.808
18,1.7
8,0.387
8,0.15
5,0.142
11,0.305
8,0.796
1,0.029
8,0.553
8,0.779
8,0.431
8,0.28
15,0.496
8,0.49
8,0.967
8,0.18
8,0.228
8,0.262
8,0.242
8,0.109
8,0.914
19,0.492
8,0.075
8,0.419
8,0.914
8,0.54
2,0.882
8,0.195
8,0.383
8,0.074
8,0.014
8,0.159
8,0.089
8,0.345
8,0.077
8,0.014
8,1.362
9,0.366
8,0.537
14,0.125
8,0.303
22,0.028
8,0.059
8,0.226
8,0.16
8,0.248
1,0.182
8,0.014
8,0.058
8,0.816
8,0.222
8,0.043
8,0.075
9,0.685
8,0.028
8,1.083
8,1.252
8,0.681
8,1.451
3,0.074
8,0.241
8,0.398
8,0.758
8,0.074
8,0.204
8,0.015
8,0.946
8,0.219
8,0.896
8,0.125
8,-0.0
8,0.837
8,0.014
8,0.355
8,0.298
8,0.267
8,0.223
8,0.128
11,0.944
8,0.028
8,0.303
8,-0.0
8,0.164
8,0.587
23,0.098
8,1.341
11,0.426
7,0.607
8,0.014
5,0.403
8,0.162
8,0.143
8,0.109
8,0.16
8,0.328
8,0.633
8,0.757
8,0.869
1,0.437
17,0.044
8,0.405
8,0.162
8,0.18
10,0.282
10,0.014
8,0.701
8,0.965
8,0.015
8,0.256
8,1.168
8,0.329
8,0.014
8,0.954
14,0.126
8,0.695
8,0.955
1,0.712
8,1.251
8,-0.0
8,0.604
8,0.221
12,0.06
8,0.69
16,0.06
8,0.896
8,0.73
17,-0.0
8,0.997
8,0.571
8,0.095
4,0.545
8,0.564
8,0.059
8,0.203
6,0.328
3,0.059
8,0.129
8,0.542
10,1.139
8,0.583
6,0.303
8,0.5
8,0.014
8,1.052
8,0.437
8,0.238
8,0.029
8,0.474
8,0.014
8,0.028
8,0.108
8,0.206
8,0.199
8,0.092
8,0.394
8,0.014
8,0.551
8,1.319
8,0.143
17,0.204
8,0.736
10,2.091
8,0.075
8,0.326
8,0.676
8,0.074
20,0.847
8,0.22
22,0.057
23,0.306
8,0.56
8,0.246
3,0.322
8,0.308
6,1.163
8,0.143
8,1.532
8,0.309
8,0.625
14,-0.0
8,-0.0
8,0.147
5,0.043
8,0.4
8,0.591
8,0.985
17,-0.0
8,0.179
1,0.043
8,0.491
8,0.223
8,0.124
8,0.147
8,0.221
8,0.239
8,0.727
8,1.331
8,0.565
8,0.108
8,0.162
8,0.078
8,0.044
8,0.454
8,0.629
8,0.143
6,0.301
12,0.364
8,0.203
8,0.844
8,0.161
8,0.897
8,1.354
8,0.522
8,0.557
8,0.075
13,0.368
8,0.177
13,0.029
8,0.043
20,0.8
13,0.802
8,1.578
18,0.107
8,1.325
6,0.141
8,1.059
8,0.142
8,0.326
8,1.198
5,0.107
16,0.043
8,0.302
3,0.216
8,0.564
8,0.09
15,0.044
8,0.161
5,1.797
15,0.499
8,0.736
8,0.428
8,0.345
5,0.534
8,0.475
8,0.06
8,0.014
8,0.728
8,0.03
8,0.125
8,0.029
8,-0.0
4,0.014
15,0.179
19,0.559
8,0.441
11,0.162
22,0.074
8,0.4
8,0.436
8,0.708
8,0.809
9,0.305
9,1.462
18,0.143
1,0.788
9,0.261
9,-0.0
20,0.043
9,0.014
16,0.311
9,0.014
9,1.597
9,0.144
12,0.834
9,0.626
9,0.076
9,0.059
9,0.593
9,0.433
9,0.029
9,0.091
9,0.014
9,0.09
9,0.638
9,0.42
3,0.107
9,0.18
9,0.014
9,0.178
9,0.158
9,0.09
9,0.108
22,0.542
9,0.128
9,0.181
9,0.277
9,0.232
15,0.363
9,0.238
9,1.92
9,0.262
7,0.029
9,1.532
9,0.526
9,0.216
9,0.347
21,0.16
9,0.237
9,1.231
9,1.335
9,0.141
17,0.105
9,0.63
9,0.792
18,0.143
7,0.028
9,0.238
9,0.161
9,0.369
9,1.083
9,0.297
9,0.199
16,-0.0
9,0.163
9,0.414
11,0.044
9,0.663
9,0.681
9,0.045
9,0.044
9,1.045
5,0.076
9,0.847
9,0.29
9,0.426
9,0.439
9,0.282
9,0.738
8,0.819
2,1.101
9,0.178
9,0.181
9,0.802
2,0.238
9,0.429
9,0.196
9,1.188
9,0.014
9,0.014
4,0.201
9,0.475
7,0.576
9,0.108
9,0.734
9,0.443
9,0.278
9,0.327
9,0.487
9,0.142
9,0.028
9,0.361
9,0.678
9,0.578
9,0.489
9,0.277
9,0.059
9,0.06
15,0.468
9,0.045
9,0.59
2,0.14
7,0.283
9,0.242
11,0.367
23,0.377
23,0.198
23,0.3
23,0.201
12,0.043
12,0.707
23,0.012
23,0.036
23,1.085
1,0.739
1,0.109
7,0.107
7,0.196
16,0.2
4,0.462
12,0.18
12,0.076
12,0.073
19,0.076
14,0.848
12,0.348
12,0.541
14,2.039
14,0.257
14,1.345
21,0.374
14,0.388
14,0.16
14,0.106
5,-0.0
5,0.447
14,1.252
13,0.854
14,0.014
14,0.347
14,0.633
14,0.236
12,0.294
2,0.74
14,0.246
14,0.34
14,1.724
14,0.425
21,0.861
14,0.043
14,0.28
9,0.526
14,0.261
14,0.321
14,0.301
14,0.65
14,0.09
14,1.414
14,0.074
14,0.163
14,0.317
14,0.511
14,1.622
4,0.259
14,0.257
14,0.123
14,0.124
5,1.285
14,0.343
14,0.493
14,1.354
14,0.107
14,0.044
11,0.408
14,0.275
14,1.108
17,0.164
19,0.147
14,0.559
18,0.028
10,0.216
14,0.256
4,0.298
14,0.216
14,0.404
14,0.194
4,0.261
14,0.277
13,0.043
7,0.128
1,0.279
4,0.181
14,0.218
14,0.764
14,0.014
14,0.125
14,0.029
14,0.562
6,0.683
14,0.816
14,0.058
14,0.14
14,0.793
14,0.364
14,0.712
14,0.624
14,0.988
14,0.75
14,0.282
2,0.014
7,0.583
14,1.103
21,0.058
14,0.411
14,0.444
14,0.092
14,2.134
14,0.412
14,0.014
14,0.074
14,1.193
14,-0.0
2,0.109
14,0.254
11,0.743
7,0.056
5,0.014
14,0.548
14,0.593
14,0.422
14,0.178
14,0.303
14,0.324
14,0.842
14,0.256
14,2.443
14,-0.0
14,0.356
14,0.432
14,0.638
14,1.315
14,0.075
7,0.043
14,0.029
14,0.144
14,0.042
14,0.028
14,0.057
15,0.342
14,0.014
14,0.363
14,0.058
14,0.144
14,0.411
14,0.029
14,0.237
14,0.339
14,0.38
14,0.107
14,0.302
14,0.839
14,1.219
14,0.799
14,0.576
14,0.123
14,0.197
14,0.107
1,0.462
14,0.515
14,0.45
14,0.238
17,1.155
14,0.568
14,0.54
14,0.106
14,0.059
14,1.348
7,1.046
14,0.217
12,0.555
2,0.181
14,0.391
14,0.238
18,0.762
14,0.195
14,0.145
14,1.003
14,0.725
14,0.693
14,0.222
14,0.058
14,0.411
14,0.221
14,0.6
14,0.576
14,0.09
14,0.162
14,0.162
15,0.089
3,0.181
14,0.123
14,0.763
14,1.053
14,0.09
14,0.093
3,0.178
14,0.059
14,0.058
14,0.973
14,0.162
14,0.95
4,0.727
14,0.241
14,0.279
14,0.043
14,0.236
14,0.215
9,0.044
14,0.177
14,0.195
14,0.429
14,0.104
14,0.09
14,1.188
14,0.454
14,0.179
14,-0.0
20,0.928
14,0.091
14,1.074
14,0.121
23,0.25
14,0.124
14,0.106
14,0.418
14,1.416
14,0.322
6,0.439
14,0.213
22,0.459
14,0.496
14,0.179
14,0.363
14,0.06
14,0.261
14,0.3
14,0.2
14,0.014
14,0.141
14,0.244
14,0.124
14,0.194
6,0.141
14,0.763
15,0.058
14,0.245
20,0.122
14,0.361
14,0.043
14,0.561
6,0.144
14,0.014
15,0.074
14,1.374
14,0.261
14,0.26
14,0.175
14,0.277
14,0.456
14,0.164
19,0.666
20,1.754
15,0.259
15,0.277
15,0.632
15,0.178
15,0.028
15,0.253
17,0.075
15,0.195
15,0.213
15,1.1
2,0.492
15,0.323
16,0.493
16,0.058
16,0.089
16,0.043
16,0.107
16,0.545
17,0.124
18,0.459
19,0.112
19,0.214
20,0.898
2,0.125
22,0.237
5,1.028
7,0.486
3,0.45
5,-0.0
23,0.274
5,0.245
6,0.075
6,0.255
20,0.11
7,0.179
7,0.124
7,0.472
9,0.178
9,0.108
9,0.579
19,0.092
7,0.187
1,0.16
1,0.144
1,0.044
1,0.321
1,0.213
1,0.803
9,0.074
1,0.089
1,0.091
1,0.287
1,0.201
1,0.239
1,0.888
1,0.744
1,0.633
1,0.163
1,0.014
3,0.282
1,1.188
1,0.297
1,1.463
1,0.369
19,0.861
1,0.328
23,0.254
10,0.126
18,0.28
16,0.218
10,0.661
11,0.258
11,0.123
11,0.044
12,0.142
12,0.109
22,0.028
12,0.267
12,0.258
12,0.696
12,0.178
9,0.391
12,0.472
12,0.058
12,0.18
17,0.161
12,0.044
12,0.232
13,0.124
16,0.67
13,0.142
13,0.242
13,0.074
14,0.028
14,0.043
15,0.52
15,0.495
15,0.125
15,0.936
23,0.064
15,0.349
10,0.029
15,0.014
16,0.441
16,0.16
12,0.238
2,1.2
16,0.574
8,1.03
16,0.643
16,0.418
18,0.253
18,0.672
18,0.336
18,0.179
18,0.109
18,0.518
18,0.451
18,0.396
12,0.638
9,0.956
19,0.226
2,1.19
2,0.074
2,0.028
2,0.177
2,0.369
2,0.091
2,0.737
13,0.628
22,0.31
9,0.413
2,0.028
2,0.333
6,0.028
1,0.255
2,1.123
2,0.199
23,0.621
2,0.199
14,0.585
2,0.077
2,0.37
2,0.073
2,0.369
2,0.215
2,0.42
2,0.087
2,0.014
2,0.601
2,0.18
2,0.196
2,0.107
2,0.074
2,0.37
2,0.373
7,0.06
2,1.407
2,0.092
2,0.245
16,0.362
2,0.702
2,0.626
2,2.689
2,0.384
2,0.987
2,0.043
2,0.125
7,0.455
2,0.76
2,0.091
2,0.221
2,0.108
2,0.143
2,0.277
2,0.159
2,0.181
2,0.435
2,0.043
2,0.178
2,0.179
14,0.276
2,0.2
2,0.029
2,0.058
16,0.516
2,0.698
16,0.09
2,0.947
2,0.258
2,0.32
2,0.014
2,0.501
2,-0.0
2,0.043
16,0.014
2,-0.0
17,0.439
3,0.146
2,0.285
2,0.077
2,0.143
19,0.059
2,0.141
2,0.621
18,1.229
2,0.608
2,0.178
3,0.143
2,0.928
2,0.649
2,0.09
2,-0.0
2,0.421
2,0.014
4,0.305
9,0.059
2,1.05
2,0.483
4,0.195
2,0.662
4,0.126
2,0.091
4,0.346
2,0.09
2,0.387
2,0.417
7,0.283
2,0.479
2,0.196
2,1.585
2,0.588
2,0.143
2,0.014
2,0.105
2,0.439
2,0.106
15,0.828
2,0.19
4,0.397
2,0.78
9,0.51
2,0.682
2,0.264
2,0.213
9,0.797
2,0.202
5,0.32
2,0.411
2,0.377
2,0.059
2,0.043
2,0.058
2,0.35
18,0.221
2,0.145
2,0.161
2,0.346
2,0.751
2,0.106
2,0.107
2,0.213
2,0.933
2,0.296
2,0.142
2,0.364
2,0.393
2,0.482
2,0.466
2,0.413
2,0.127
11,2.435
2,0.773
2,0.029
11,0.286
2,0.089
2,-0.0
2,0.111
8,1.484
2,0.581
2,0.457
2,1.08
2,0.177
2,0.089
3,0.215
2,0.058
2,-0.0
2,0.043
2,0.028
15,0.434
2,0.722
2,0.871
2,0.045
2,0.179
2,0.124
2,0.296
2,-0.0
3,0.059
2,0.372
2,0.446
6,1.183
1,0.669
2,0.617
2,0.088
2,0.044
2,0.378
2,1.428
2,0.029
2,0.237
2,1.076
2,0.105
14,0.432
2,0.282
2,1.096
2,0.111
2,1.214
2,0.561
2,0.194
2,0.487
2,0.09
2,0.196
2,0.413
2,0.028
2,0.029
20,0.278
2,0.161
2,1.356
13,0.79
2,0.214
2,0.384
2,0.178
2,-0.0
2,0.202
2,0.161
2,0.24
2,1.032
2,0.044
2,0.445
2,0.106
2,0.075
2,0.044
2,0.179
2,0.194
2,0.582
7,1.015
2,0.165
2,0.287
2,0.089
2,0.042
2,0.8
2,0.094
2,0.029
5,0.854
5,0.16
2,0.387
2,0.184
2,0.503
2,0.754
2,0.18
2,0.341
7,0.77
2,-0.0
2,1.226
2,0.264
2,0.72
2,0.678
2,0.729
2,0.058
2,-0.0
2,0.39
2,0.277
2,0.176
2,0.073
2,0.277
11,0.225
4,0.239
2,1.019
7,0.327
2,0.39
2,0.028
2,0.161
2,0.628
2,0.127
14,0.092
2,0.145
2,0.646
2,1.286
2,0.074
2,0.028
18,0.091
2,0.387
2,0.014
2,0.09
2,0.373
2,0.014
2,1.369
16,1.277
16,0.71
2,0.092
2,0.161
10,0.284
2,0.669
2,0.76
2,0.809
2,0.123
2,0.059
2,0.377
2,0.575
2,0.091
2,0.073
2,-0.0
2,0.108
2,0.044
2,0.028
2,0.834
12,0.549
2,0.702
5,0.164
2,1.325
2,1.096
2,1.569
2,0.41
2,0.06
2,0.966
2,0.238
2,0.043
2,0.044
2,0.125
2,1.202
3,0.127
2,0.507
13,0.443
2,0.215
2,0.834
2,1.067
2,1.048
2,0.057
2,0.384
2,0.493
2,0.812
2,0.469
2,1.089
2,0.443
2,1.055
2,0.043
2,0.394
12,0.361
18,0.365
2,0.456
2,0.958
2,0.6
2,0.356
2,0.238
3,0.287
3,0.246
3,0.059
2,0.876
2,0.408
2,0.283
2,0.107
2,0.676
2,0.059
10,0.044
2,0.106
2,0.178
2,1.174
2,0.336
15,0.232
2,0.075
2,1.441
2,0.214
2,0.734
2,0.107
2,0.197
2,0.142
8,0.303
2,0.073
2,0.986
18,0.196
8,0.126
2,0.818
8,0.046
2,0.043
19,0.349
2,-0.0
2,0.014
2,0.072
2,0.028
2,0.614
2,0.365
2,0.214
2,0.059
2,0.18
2,0.586
2,0.014
2,0.434
12,1.326
2,0.027
5,0.658
2,0.14
2,0.592
15,0.59
2,0.125
2,0.18
8,0.791
2,0.322
4,0.421
2,0.543
2,0.195
2,1.202
2,0.144
2,0.122
2,0.159
8,0.178
2,0.058
2,0.264
2,0.509
13,0.912
2,0.396
2,0.202
2,0.044
2,1.271
2,0.074
5,0.043
2,0.812
2,0.487
2,0.076
2,0.028
2,0.489
11,0.357
2,1.776
3,0.178
2,0.646
2,0.529
2,1.303
2,0.274
2,-0.0
2,1.23
2,0.16
11,0.342
2,0.358
15,0.897
2,0.366
2,0.418
2,0.028
2,1.388
2,0.304
2,0.471
2,0.091
2,0.09
2,1.416
2,0.199
2,0.892
2,1.067
2,0.044
2,0.106
20,1.272
21,0.242
22,0.739
11,1.021
3,0.108
4,0.075
3,0.029
3,0.044
5,0.569
4,0.339
4,0.321
4,0.265
4,0.307
4,0.073
4,1.254
4,0.057
4,0.044
1,0.631
15,0.858
15,0.278
5,1.174
4,0.109
5,0.057
6,0.107
6,0.41
6,0.551
6,0.146
7,0.232
7,0.044
7,0.26
7,0.175
7,0.322
7,0.029
7,0.028
7,0.138
7,0.468
7,0.31
7,0.028
7,0.028
7,0.299
8,-0.0
8,0.092
8,0.432
8,0.014
8,1.154
8,0.509
8,0.398
8,0.669
8,0.045
8,0.236
3,0.423
8,0.576
8,1.073
1,0.261
9,0.668
9,0.202
9,0.344
9,0.215
9,0.32
5,-0.0
12,0.074
23,0.211
23,0.237
4,0.557
23,0.29
1,0.237
1,0.029
1,0.382
12,0.487
10,0.216
10,0.162
11,0.833
11,0.06
11,0.124
11,0.514
12,0.422
10,0.493
4,0.06
12,1.651
14,0.257
5,0.364
14,0.106
14,0.401
14,0.359
15,0.535
15,0.259
6,0.076
17,0.014
18,0.661
19,0.092
19,0.241
20,0.745
22,0.48
3,0.307
3,0.058
2,0.197
4,0.438
5,0.902
5,0.073
6,0.127
6,0.059
6,0.607
7,1.598
10,0.261
7,0.256
7,0.162
7,0.534
7,0.212
22,0.14
7,0.298
7,0.059
7,0.029
7,0.303
7,0.237
7,1.174
20,0.014
7,1.343
7,0.094
7,0.234
7,0.342
7,0.912
7,0.24
1,0.888
6,0.059
23,0.87
7,0.569
23,0.285
6,0.164
7,0.431
7,0.345
7,0.155
7,0.029
7,0.694
7,0.11
7,0.028
7,0.514
7,0.24
7,0.237
9,0.927
7,0.111
10,0.377
1,0.635
7,0.238
7,0.337
7,0.029
7,0.836
7,-0.0
7,1.117
7,0.126
7,0.231
13,0.323
7,0.145
7,0.206
7,0.778
7,0.393
7,0.372
7,0.539
7,0.216
7,1.05
7,0.655
7,0.444
7,0.029
7,0.791
1,0.059
21,0.35
7,0.284
7,0.395
7,0.241
7,0.689
7,0.278
7,0.571
7,0.263
7,0.258
7,0.165
7,0.043
1,0.058
7,0.52
7,1.434
7,0.09
7,0.192
7,0.293
21,0.18
7,0.093
7,0.043
7,0.632
7,0.303
7,0.399
7,0.815
1,0.057
7,0.378
23,0.061
16,0.092
7,1.394
7,0.089
7,0.057
7,0.105
7,0.48
7,0.111
7,0.186
7,0.18
7,0.091
7,0.199
17,0.576
7,0.123
7,0.459
7,0.691
2,0.777
7,0.354
7,0.128
7,0.186
16,0.308
7,0.145
7,-0.0
7,0.146
7,0.272
7,0.193
7,0.997
7,0.044
7,0.18
4,0.565
7,0.029
7,0.489
15,-0.0
7,0.317
7,0.076
7,0.98
7,0.358
3,0.029
7,0.649
7,0.09
7,0.716
5,0.327
2,0.014
7,1.038
7,0.516
7,0.437
7,0.768
7,0.675
8,0.061
7,0.201
7,0.184
7,0.321
11,-0.0
2,0.092
7,0.543
4,0.108
7,0.326
7,0.073
7,0.183
7,-0.0
7,0.176
7,0.076
7,0.077
18,1.067
7,0.074
7,1.113
7,0.165
7,0.059
7,0.626
7,0.534
7,0.177
7,0.146
7,0.075
3,0.159
1,1.307
7,0.435
7,0.301
7,0.394
10,0.33
7,0.074
9,0.391
7,0.37
7,0.183
7,0.092
13,0.014
1,0.282
7,0.754
7,0.06
22,0.274
7,0.714
7,0.138
7,0.218
7,0.089
7,0.215
7,1.482
7,1.164
7,0.763
7,0.176
5,0.444
7,1.045
7,0.303
7,0.199
7,1.078
7,0.125
