CHR,P
22,1.949
4,0.547
4,0.672
4,0.797
4,0.922
7,0.087
7,0.212
7,1.111
7,1.861
7,1.236
7,1.611
7,1.361
7,1.486
12,0.958
17,1.294
17,1.669
17,1.044
17,1.794
17,1.169
17,1.544
17,1.919
17,1.63
17,1.755
21,2.202
21,2.452
20,1.275
20,1.775
21,2.077
17,2.281
17,2.031
17,2.656
17,2.406
17,2.156
17,2.906
9,0.158
9,0.033
11,1.173
11,1.048
11,1.423
11,1.673
11,1.298
5,1.48
11,1.798
11,1.548
11,1.923
12,0.573
12,0.823
12,3.143
12,3.268
5,0.608
5,0.483
5,0.358
5,0.858
5,0.983
5,0.733
9,0.056
18,3.575
18,3.325
18,3.075
12,0.029
16,0.76
16,0.135
16,0.26
16,0.635
16,0.885
16,0.51
16,0.385
4,1.038
4,1.288
4,1.413
4,1.538
4,1.788
4,1.663
4,1.163
4,1.913
7,0.304
7,0.179
6,3.37
6,3.745
6,3.245
7,0.429
1,1.162
1,1.037
1,1.537
1,1.412
1,1.662
1,1.287
1,1.912
1,1.787
14,0.008
21,2.292
20,1.529
9,3.07
14,1.829
14,0.031
14,0.156
2,0.785
2,0.66
2,0.535
2,0.91
5,1.224
5,1.474
5,1.349
5,1.099
5,1.974
5,1.724
5,1.599
5,1.849
14,0.054
18,3.29
16,0.227
14,3.369
14,3.744
15,2.394
15,2.019
15,2.644
15,2.144
14,0.077
2,4.022
3,3.172
3,3.047
10,1.689
4,1.128
4,1.003
4,1.253
4,1.378
4,1.628
4,1.753
4,1.878
4,1.503
10,3.256
10,3.381
6,3.71
6,3.21
10,3.006
10,3.881
12,0.019
20,1.106
20,1.231
20,1.481
20,1.356
20,1.731
20,1.606
20,1.981
17,0.165
20,1.856
14,0.623
14,0.373
14,0.748
14,0.498
14,0.248
14,0.123
14,0.873
14,0.998
20,0.58
20,0.705
8,0.209
5,0.292
5,0.417
11,1.89
16,2.476
16,2.351
18,0.935
18,0.685
18,0.56
18,0.81
18,3.38
19,2.03
19,2.155
19,2.405
19,2.28
13,0.57
13,0.695
13,0.945
13,0.82
15,2.734
15,0.186
15,0.311
2,4.112
3,3.012
3,3.762
3,3.262
15,0.061
15,0.436
20,0.645
20,0.895
20,0.395
20,0.27
6,0.48
6,0.355
6,0.73
6,0.855
6,0.605
6,0.98
13,0.026
17,0.132
17,0.757
17,0.257
17,0.632
17,0.882
17,0.382
17,0.507
20,1.071
20,1.196
20,1.321
20,1.571
15,0.107
8,0.176
8,0.301
8,0.426
10,0.542
10,0.667
10,0.792
10,0.917
1,0.336
1,0.461
11,3.011
12,2.411
12,2.661
12,2.911
12,2.036
12,2.286
12,2.536
8,2.365
8,2.115
8,2.615
8,2.49
8,2.24
15,0.153
22,0.084
3,0.532
3,0.907
3,0.782
3,0.657
3,3.227
10,0.005
15,0.051
22,0.505
22,0.13
15,0.074
22,0.88
22,0.255
22,0.38
21,1.079
21,1.579
22,0.63
22,0.755
1,3.625
1,3.5
1,3.375
22,1.927
22,1.427
21,1.31
21,1.435
21,1.56
21,1.935
21,1.06
21,1.81
21,1.685
21,1.185
21,4.255
22,0.647
15,0.12
12,2.001
12,2.126
12,2.376
12,2.251
12,2.751
12,2.626
12,2.501
15,0.62
15,0.87
21,1.909
16,1.367
19,0.807
19,0.557
19,0.932
19,0.682
22,1.871
22,0.222
22,0.097
22,1.121
13,1.042
13,1.167
13,1.417
13,1.917
13,1.292
13,1.542
4,0.144
6,2.353
6,2.478
6,2.228
6,2.103
6,2.728
6,2.853
6,2.603
17,1.728
1,3.965
1,3.09
1,3.59
1,3.465
1,3.215
17,0.948
21,1.808
19,1.202
19,1.077
19,1.327
19,1.452
19,1.702
19,1.827
19,1.952
17,1.979
17,1.229
17,1.479
17,1.354
17,1.604
17,1.729
17,1.104
17,1.854
22,2.307
22,2.057
11,0.621
11,0.121
11,0.371
11,0.246
11,0.871
11,0.746
11,0.496
11,0.996
17,1.355
2,0.415
2,0.29
18,2.523
18,2.148
18,2.273
8,4.238
8,4.738
18,2.398
18,2.023
18,2.648
18,2.898
4,0.611
4,0.236
4,0.861
4,0.736
4,0.486
4,0.361
4,0.986
10,2.114
10,2.864
10,2.364
6,2.943
6,2.318
6,2.443
6,2.693
6,2.068
6,2.193
17,1.482
17,1.982
9,2.143
9,2.518
9,2.268
9,2.393
9,2.018
9,2.893
9,2.768
9,2.643
11,0.088
11,0.213
18,0.042
22,1.055
22,1.18
22,1.43
16,0.824
16,0.949
16,0.699
16,0.574
8,4.578
18,0.065
18,0.19
18,0.44
15,1.467
15,1.092
15,1.592
11,4.512
15,1.342
15,1.842
2,3.095
2,3.845
3,2.12
3,2.495
3,2.745
3,2.37
3,2.87
3,2.62
3,2.245
22,1.793
20,0.679
20,0.804
18,0.111
20,0.929
11,0.18
11,0.43
11,0.305
20,0.554
13,1.758
21,0.449
11,2.119
11,2.744
11,2.244
11,2.369
11,2.494
11,2.869
18,0.032
18,0.157
18,2.203
18,2.328
8,4.793
18,2.953
12,0.118
12,0.243
12,0.868
7,2.131
7,2.506
7,2.381
7,2.006
7,2.631
7,2.756
3,2.71
3,2.585
3,2.96
3,2.21
3,0.287
3,0.412
3,2.085
3,2.46
3,2.335
18,0.055
8,1.857
8,1.482
8,1.232
8,1.357
8,1.607
8,1.732
8,1.982
13,1.885
22,3.084
18,0.078
16,0.02
8,1.297
8,1.922
8,1.047
8,1.672
8,1.172
8,1.422
8,1.547
8,1.797
21,3.238
17,3.692
17,3.067
21,0.166
16,4.1
9,0.795
9,0.92
3,0.01
9,0.545
9,0.67
9,1.847
9,1.222
9,1.972
9,1.722
11,2.584
11,2.209
12,0.21
12,2.577
12,2.827
12,2.952
18,1.329
15,3.477
3,2.925
3,2.3
3,2.55
3,2.05
3,2.175
3,2.675
3,2.425
19,0.039
19,1.69
19,1.19
16,1.046
16,1.171
16,1.421
16,1.796
16,1.546
16,1.296
16,1.671
16,1.921
18,1.757
18,1.921
18,1.796
18,1.007
19,0.187
19,0.062
19,0.312
19,0.437
17,0.004
10,0.981
10,0.356
10,0.481
10,0.606
10,0.856
10,0.731
1,2.073
1,2.323
1,2.448
1,2.823
1,2.573
1,2.698
1,2.198
8,0.73
8,0.605
8,0.48
13,1.816
13,1.691
13,1.941
17,0.027
21,0.633
21,0.383
21,0.508
21,0.133
21,0.883
21,0.758
21,0.258
9,4.231
19,0.108
14,0.918
14,0.543
14,0.793
14,0.668
20,1.678
5,0.337
5,0.462
19,0.154
16,1.386
16,1.636
16,1.261
12,1.7
12,1.825
12,1.575
7,0.658
7,0.533
7,0.783
7,0.908
10,1.347
10,1.222
10,1.472
10,1.097
10,1.847
10,1.722
10,1.597
10,1.972
19,0.052
1,2.038
1,2.538
1,2.288
1,2.413
1,2.163
1,2.788
1,2.663
20,2.022
20,2.522
19,0.075
17,0.802
9,1.626
9,1.251
9,1.001
9,1.376
9,1.501
9,1.126
9,1.751
9,1.876
14,1.409
14,1.534
14,2.512
20,1.932
17,0.84
18,1.596
18,1.471
18,1.096
18,1.846
18,1.221
18,1.721
18,1.971
18,1.346
15,3.645
13,0.207
10,4.382
6,1.141
6,1.266
6,1.641
6,1.016
6,1.516
6,1.391
6,1.891
6,1.766
20,0.036
12,0.698
12,0.948
20,0.309
20,0.059
20,0.184
17,1.659
20,0.434
15,1.928
15,1.428
15,1.303
15,1.053
7,0.551
15,1.803
15,1.553
15,1.678
9,0.368
9,0.493
9,0.743
9,0.868
9,0.618
5,1.095
5,1.595
12,3.197
10,2.056
12,3.447
18,1.061
18,1.561
18,1.186
18,1.686
18,1.311
18,1.436
13,0.001
15,0.915
15,0.54
15,0.79
15,0.665
2,2.793
2,2.043
2,2.293
2,2.168
2,2.418
2,2.543
2,2.668
2,2.918
3,1.068
6,0.459
6,0.334
20,0.151
21,2.346
21,2.221
12,3.287
12,3.412
9,0.175
9,0.3
9,0.425
13,2.062
13,2.437
13,2.687
13,2.562
13,2.312
13,2.187
20,1.137
20,1.012
20,1.512
21,1.855
3,1.158
3,1.408
3,1.783
3,1.033
3,1.908
3,1.283
3,1.658
3,1.533
22,2.032
22,2.657
15,2.64
22,2.532
22,2.407
4,0.906
4,0.531
4,0.656
4,0.281
4,0.406
4,0.781
7,1.345
7,1.095
7,1.72
7,1.47
1,1.181
1,1.306
1,1.056
1,1.556
1,1.681
1,1.931
1,1.431
1,1.806
21,2.186
21,2.311
21,2.686
21,2.811
21,2.061
21,2.436
17,2.39
9,3.839
9,3.089
9,3.464
9,3.214
9,3.339
16,0.073
9,0.142
17,2.515
17,2.265
11,1.282
11,1.532
11,1.782
11,1.157
11,1.032
11,1.657
11,1.407
11,1.907
5,1.118
5,1.493
5,1.368
5,1.743
5,1.243
5,1.618
5,1.868
5,1.993
11,1.755
15,1.853
22,1.767
18,3.434
18,3.309
18,3.059
22,1.457
16,0.744
16,0.244
16,0.119
16,0.869
16,0.619
16,0.994
16,0.369
4,1.647
4,1.272
4,1.147
4,1.022
4,1.522
4,1.897
4,1.772
4,1.397
7,0.413
7,0.288
6,3.729
6,3.104
6,3.229
6,3.354
15,0.699
15,0.949
1,1.146
1,1.271
1,1.646
1,1.021
1,1.521
1,1.771
1,1.396
1,1.896
17,1.631
21,2.026
21,2.526
21,2.151
21,2.276
20,2.974
20,2.224
9,3.429
9,3.304
9,3.679
9,3.179
20,2.099
20,2.474
20,2.724
20,2.349
2,0.269
2,0.769
2,0.519
2,0.394
2,0.644
2,0.894
5,1.208
5,1.333
5,1.583
5,1.458
5,1.083
5,1.708
20,0.334
20,0.459
17,1.758
18,3.274
16,0.211
16,0.086
18,3.524
18,3.649
19,2.049
19,2.924
15,2.128
15,2.378
15,2.503
15,2.003
15,2.878
15,2.253
3,3.281
16,1.714
17,1.385
17,1.885
20,1.34
20,1.215
20,1.09
20,1.59
20,1.465
17,0.149
20,1.84
20,1.715
14,0.732
14,0.482
14,0.357
14,0.607
14,0.982
14,0.857
20,0.658
20,0.908
21,0.028
12,2.18
12,2.055
12,2.93
12,2.305
12,2.43
12,2.555
12,2.68
18,0.669
18,0.919
18,0.544
18,0.794
18,3.114
19,2.014
15,2.468
7,3.042
7,3.167
7,3.667
15,2.218
15,2.718
15,2.593
3,3.246
15,2.843
15,2.343
6,0.589
6,0.714
6,0.839
6,0.964
17,0.241
17,0.491
17,0.741
17,0.366
17,0.866
17,0.616
17,0.991
20,1.18
20,1.43
20,1.305
20,1.055
20,1.68
8,0.285
8,0.41
19,1.981
21,1.798
19,1.067
19,1.942
19,1.567
19,1.692
21,1.673
21,1.173
1,0.32
1,0.195
1,0.445
1,0.07
10,0.366
10,0.866
21,0.803
21,0.678
21,0.928
21,0.553
11,3.12
12,2.395
12,2.27
12,2.02
12,2.77
12,2.645
12,2.145
8,2.224
8,2.349
8,2.099
8,2.724
8,2.474
8,2.974
8,2.849
2,1.491
2,1.116
2,1.991
2,1.866
2,1.241
2,1.366
2,1.616
2,1.741
3,0.266
3,0.641
3,0.516
1,0.116
18,2.195
18,2.695
17,0.208
22,0.239
22,0.364
22,0.739
22,0.489
22,0.614
22,0.864
22,0.989
1,3.609
1,3.109
1,0.162
21,1.419
21,1.044
21,1.919
21,1.794
21,1.169
21,1.544
21,1.294
21,1.669
21,4.114
15,0.729
12,2.61
12,2.235
12,2.735
12,2.985
12,2.36
12,2.86
12,2.11
12,2.485
15,0.854
19,0.69
19,0.565
19,0.94
19,0.815
21,0.796
21,0.921
22,1.084
22,1.795
22,1.545
22,1.334
1,0.083
22,1.459
22,1.67
22,1.42
19,0.541
19,0.666
19,0.791
19,0.916
22,1.98
22,0.206
22,1.48
22,1.105
13,1.026
10,2.258
10,2.008
10,2.883
10,2.133
10,0.46
10,0.335
6,2.337
6,2.212
6,2.587
6,2.962
6,2.087
6,2.837
6,2.462
19,0.813
1,0.129
1,0.879
1,0.379
1,0.254
1,0.754
1,0.504
1,0.629
1,3.449
1,3.574
1,3.199
1,3.824
21,1.134
21,1.384
21,1.884
21,1.634
21,1.759
21,1.259
17,1.213
9,2.037
9,2.787
9,2.662
9,2.162
9,2.412
9,2.287
9,2.537
9,2.912
12,3.655
13,0.633
13,0.883
13,0.758
13,0.383
16,0.896
18,2.132
18,2.257
18,2.007
8,4.722
18,2.382
18,2.757
18,2.632
18,2.507
18,2.882
22,0.298
15,4.056
22,0.173
22,0.423
4,0.595
4,0.72
4,0.345
4,0.47
4,0.845
4,0.97
10,2.473
10,2.348
10,2.848
10,2.973
6,2.302
6,2.052
6,2.427
6,2.552
6,2.802
6,2.927
6,2.177
6,2.677
9,2.002
9,2.252
9,2.127
9,2.377
9,2.627
9,2.752
9,2.877
9,1.837
20,1.835
18,2.347
18,2.222
18,2.722
18,0.636
18,0.174
18,0.424
17,3.614
15,1.076
15,1.701
15,1.451
15,1.576
15,1.326
15,1.951
2,3.329
2,3.954
2,3.829
2,3.454
3,2.229
3,2.104
3,2.354
3,2.729
3,2.854
3,2.604
2,2.734
20,0.913
20,0.788
20,0.663
20,0.538
11,0.289
11,0.414
15,2.403
2,0.708
2,0.833
2,0.958
2,0.583
21,3.757
16,4.119
11,2.103
11,2.228
11,2.728
11,2.478
11,2.353
11,2.603
11,2.853
13,3.973
13,3.848
18,0.141
12,0.352
12,0.602
12,0.477
12,0.852
12,0.727
12,0.977
15,1.291
15,1.166
15,1.791
3,2.194
3,2.069
3,2.819
3,2.444
3,2.569
3,2.319
3,2.694
3,2.944
12,1.565
12,1.19
12,1.065
12,1.69
12,1.44
12,1.94
12,1.815
21,0.104
22,3.193
15,2.506
15,2.006
15,2.131
15,2.631
15,2.256
15,2.881
15,2.381
8,1.781
8,1.031
8,1.531
8,1.281
8,1.156
8,1.406
8,1.656
1,2.092
1,2.592
1,2.217
1,2.342
1,2.717
1,2.842
1,2.967
1,2.467
21,3.222
21,0.15
18,0.983
18,0.858
18,0.483
18,0.358
18,0.733
16,4.084
9,0.529
9,0.404
9,0.279
9,0.904
9,0.779
9,0.654
12,1.468
12,1.093
12,1.343
12,1.718
12,1.968
12,1.593
3,2.034
3,2.409
3,2.909
3,2.284
3,2.159
3,2.534
3,2.784
3,2.659
19,0.018
21,0.071
21,1.758
16,1.03
16,1.905
16,1.78
16,1.655
16,1.405
16,1.155
16,1.28
16,1.53
19,0.296
19,0.421
10,0.84
10,0.715
10,0.59
10,0.965
1,2.182
1,2.307
1,2.057
1,2.432
1,2.557
1,2.682
1,2.932
17,1.774
15,1.168
15,1.793
15,1.668
15,1.293
15,1.918
15,1.418
17,1.399
21,0.242
20,2.004
20,2.254
21,0.742
21,0.617
21,3.187
20,2.09
20,2.59
12,0.286
12,0.411
20,2.215
14,0.277
14,0.527
14,0.402
14,0.902
14,0.652
14,0.777
22,1.233
5,1.999
22,1.733
5,1.21
5,0.196
5,0.321
5,0.446
5,1.835
19,3.21
17,0.323
15,3.039
3,4.067
7,0.267
7,0.392
7,0.517
7,0.642
7,0.892
7,0.767
10,1.081
10,1.581
10,1.206
10,1.331
10,1.706
5,0.117
16,1.673
1,2.147
1,2.272
1,2.522
1,2.397
1,2.022
1,2.772
1,2.897
1,2.647
12,0.009
11,2.161
14,1.393
11,2.497
14,1.643
14,1.268
14,1.018
14,1.518
14,1.143
14,1.768
14,1.893
8,0.33
8,0.455
5,0.163
14,0.366
20,1.377
20,1.877
20,1.752
12,3.091
12,3.591
12,3.466
10,0.394
10,0.894
10,0.769
12,3.341
18,1.08
18,1.205
18,1.33
18,1.83
18,1.58
18,1.455
12,1.632
5,0.084
10,4.241
3,0.936
3,0.561
3,0.811
3,0.686
6,1.125
6,1.0
6,1.25
6,1.75
6,1.5
6,1.375
6,1.875
6,1.625
20,0.293
20,0.418
9,4.395
20,0.213
12,3.181
12,3.306
12,3.681
18,1.045
18,1.92
13,0.408
13,0.283
18,1.67
18,1.42
18,1.795
15,0.649
15,0.274
15,0.524
15,0.399
15,0.899
15,0.774
3,1.552
3,1.802
3,1.302
3,1.427
3,1.052
3,1.177
3,1.677
3,1.927
6,0.068
6,0.193
6,0.443
6,0.318
20,0.125
20,0.625
20,0.5
20,0.375
20,0.25
20,0.75
20,0.0
20,0.875
20,nan
22,2.926
22,2.176
22,0.113
22,2.551
22,2.051
22,2.301
11,1.66
11,1.035
11,1.285
11,1.41
11,1.16
11,1.785
7,1.114
7,1.989
7,1.489
7,1.364
7,1.239
7,1.739
7,1.864
7,1.614
8,0.389
8,0.889
8,0.139
6,0.114
1,0.674
1,0.799
1,0.549
1,0.924
21,2.455
21,2.08
21,2.205
12,3.271
13,2.171
9,0.409
9,0.284
13,2.046
13,2.296
13,2.671
13,2.421
13,2.546
20,0.449
20,0.199
6,0.035
6,0.16
20,0.324
3,1.267
3,1.142
3,1.017
3,1.392
3,1.517
3,1.892
3,1.642
3,1.767
6,0.058
16,1.868
16,1.743
16,1.993
22,2.266
16,1.704
16,1.954
22,2.141
22,0.343
22,0.468
22,2.016
10,3.044
10,3.544
6,3.623
4,0.89
4,0.515
4,0.14
4,0.64
4,0.39
4,0.265
4,0.765
6,3.248
7,1.079
7,1.454
1,1.29
1,1.165
1,1.54
1,1.04
1,1.415
1,1.79
1,1.665
1,1.915
21,2.295
9,3.448
9,3.073
5,1.102
5,1.227
5,1.727
5,1.852
5,1.352
5,1.602
5,1.977
5,1.477
18,2.415
4,0.007
22,1.162
18,3.293
16,0.353
16,0.603
8,1.166
8,1.291
8,1.541
8,1.666
8,1.791
4,1.006
4,1.256
4,1.131
4,0.232
4,1.881
4,1.381
4,1.506
4,1.756
4,1.631
10,3.259
6,3.088
2,0.082
21,0.763
21,0.263
21,0.513
21,0.888
21,0.138
1,1.38
1,1.005
1,1.505
1,1.13
1,1.63
1,1.255
1,1.755
1,1.88
19,1.721
19,1.346
19,1.596
21,2.01
9,0.843
9,0.968
9,0.718
9,0.593
9,3.413
9,3.288
9,3.038
11,0.334
11,0.459
19,1.432
19,1.182
20,1.552
22,2.662
22,2.537
22,2.412
2,0.128
2,0.753
2,0.378
2,0.878
2,0.253
2,0.503
2,0.628
5,1.567
5,1.442
5,1.192
5,1.317
5,1.692
19,0.843
18,3.133
19,2.908
19,2.158
19,2.533
19,2.408
19,2.783
14,1.284
15,2.362
15,2.112
15,2.237
4,0.449
4,0.199
4,0.324
2,4.365
3,3.14
3,3.265
3,3.64
3,3.015
3,3.39
2,0.049
20,1.699
17,1.416
20,1.824
20,1.074
20,1.199
20,1.324
20,1.449
13,1.75
13,1.5
13,1.25
13,1.625
13,1.125
13,1.875
3,0.517
3,0.642
3,0.767
3,0.392
2,1.869
2,1.619
2,0.095
2,0.22
2,1.119
2,1.369
2,1.244
2,1.744
2,1.494
2,1.994
21,4.543
3,1.917
12,2.789
12,2.664
12,2.414
12,2.914
12,2.039
12,2.539
12,2.164
12,2.289
18,0.278
18,0.903
18,0.778
18,0.528
18,0.403
20,1.738
7,3.026
7,3.276
22,1.285
22,1.535
3,3.605
3,0.033
3,0.158
3,0.056
17,0.975
17,0.85
17,0.35
17,0.475
17,0.6
17,0.725
20,1.539
20,1.289
20,1.039
5,0.012
20,1.164
20,1.414
1,3.753
1,3.378
1,3.128
3,0.079
21,0.787
21,0.912
21,0.662
21,0.537
13,0.748
13,0.248
13,0.498
13,0.373
13,0.873
12,2.754
12,2.254
12,2.629
12,2.129
12,0.331
12,0.456
12,2.004
12,2.504
12,2.379
12,2.879
6,0.495
6,0.245
6,0.745
18,2.278
18,2.778
18,2.403
3,0.5
3,0.125
3,0.0
3,0.375
3,0.25
3,0.875
3,0.625
3,0.75
19,0.006
3,0.023
13,2.462
13,2.837
17,1.216
17,1.466
17,1.716
17,1.591
17,1.091
17,1.341
17,1.841
17,1.966
7,0.812
7,0.562
7,0.687
7,0.937
10,0.227
3,0.046
10,1.814
1,3.468
1,3.218
1,3.718
1,3.093
1,0.146
21,1.903
21,1.403
21,1.653
21,1.528
21,1.028
21,1.278
21,1.153
15,0.588
12,2.219
12,2.719
12,2.094
12,2.344
12,2.594
12,2.469
12,2.844
15,0.713
3,0.217
3,0.092
15,3.037
18,0.501
18,0.876
18,0.626
