CHR,P
15,0.556
2,2.184
2,2.059
3,1.209
20,0.167
9,0.441
9,0.316
9,0.191
3,1.299
3,1.049
19,0.833
19,0.708
19,0.958
4,0.672
4,0.547
7,1.236
4,0.922
7,0.212
7,0.087
7,1.611
9,0.158
11,1.048
12,0.573
12,0.698
12,0.948
11,1.173
5,0.608
5,0.358
5,0.983
5,0.858
9,0.056
5,0.483
12,0.029
16,0.26
16,0.51
16,0.385
16,0.76
16,0.635
4,1.038
14,0.11
7,0.179
7,0.304
7,0.429
1,1.287
1,1.037
2,0.66
2,0.785
2,0.535
4,1.003
4,1.378
23,0.329
20,1.356
20,1.231
17,0.165
14,0.123
14,0.498
14,0.748
14,0.623
14,0.373
20,0.955
20,0.58
14,0.873
5,0.417
13,0.57
13,0.695
13,0.82
15,0.436
6,0.605
6,0.355
6,0.73
6,0.98
17,0.882
17,0.382
17,0.507
20,1.071
20,1.321
20,1.571
17,0.257
17,0.632
15,0.107
8,0.176
8,0.301
8,0.426
10,0.667
10,0.792
10,0.542
1,0.461
1,0.336
3,0.907
3,0.532
3,0.657
3,0.782
22,0.255
22,0.755
15,0.074
22,0.505
15,0.495
15,0.12
15,0.37
15,0.745
15,0.87
15,0.62
15,0.245
19,0.807
19,0.557
19,0.682
22,0.222
13,1.292
13,1.542
13,1.042
4,0.144
6,2.228
21,1.275
21,1.15
21,1.025
21,1.9
11,0.871
11,0.246
11,0.496
11,0.371
11,0.121
11,0.621
11,0.746
2,0.415
2,0.29
4,0.736
4,0.611
4,0.236
4,0.861
4,0.486
4,0.986
4,0.361
13,1.132
23,0.709
23,0.834
11,0.088
11,0.213
18,0.042
16,0.574
16,0.824
19,1.388
18,0.44
15,1.967
23,1.7
20,0.804
20,0.554
18,0.111
11,0.305
11,0.18
11,0.43
21,0.324
21,0.199
21,0.449
18,0.157
12,0.368
12,0.618
12,0.243
12,0.993
12,0.493
12,0.868
15,1.557
3,0.287
3,0.412
18,0.078
8,1.172
21,0.166
9,0.67
11,2.084
12,1.484
9,0.92
12,0.21
16,1.171
16,1.046
19,0.437
19,0.187
10,0.731
10,0.356
10,0.606
10,0.481
10,0.856
21,0.258
21,0.758
21,0.508
19,0.108
14,0.793
14,0.543
14,0.668
5,0.462
5,0.337
16,1.011
22,0.569
16,1.511
22,0.944
16,1.386
22,0.694
7,0.533
13,0.24
10,1.222
7,0.908
13,0.49
13,0.865
7,0.658
13,0.615
10,1.347
13,0.365
13,0.74
1,2.163
19,0.075
17,0.802
9,1.001
14,1.159
17,0.677
14,1.034
13,0.207
6,1.766
20,0.184
20,0.059
20,0.309
20,0.434
20,0.105
18,1.436
15,0.665
15,0.54
15,0.79
3,1.318
3,1.568
3,1.193
6,0.334
6,0.459
20,0.151
9,0.425
9,0.175
9,0.3
3,1.158
3,1.658
3,1.033
3,1.283
3,1.408
4,0.281
4,0.531
4,0.406
7,1.095
7,1.595
4,0.906
7,1.72
1,1.181
1,1.056
17,2.14
16,0.073
9,0.142
11,1.032
11,1.782
11,1.282
5,1.118
16,0.619
16,0.369
16,0.494
16,0.244
16,0.869
4,1.147
7,0.413
7,0.288
1,1.771
1,1.021
1,1.646
1,1.271
1,1.896
1,1.396
23,0.096
9,3.429
2,0.394
2,0.644
2,0.894
2,0.769
5,1.333
2,0.519
2,0.269
5,1.458
23,0.017
16,0.211
23,0.04
23,0.188
23,0.063
23,0.313
20,1.34
23,0.438
14,0.982
14,0.357
14,0.607
14,0.732
14,0.482
21,0.028
23,0.109
12,2.555
18,0.669
18,0.794
6,0.714
6,0.964
6,0.589
6,0.839
17,0.241
17,0.366
20,1.18
17,0.616
17,0.866
20,1.43
17,0.741
8,0.41
8,0.285
1,0.445
1,0.195
1,0.32
21,0.803
21,0.553
2,1.116
3,0.641
3,0.516
3,0.391
3,0.266
22,0.739
22,0.364
22,0.614
22,0.239
22,0.489
1,0.162
21,1.294
15,0.479
15,0.729
19,0.666
19,0.916
19,0.791
19,0.541
13,1.401
10,2.258
13,1.901
10,0.335
1,0.254
1,0.879
1,0.629
1,0.129
1,0.379
1,0.754
21,1.509
22,0.298
22,0.423
4,0.345
4,0.72
4,0.47
4,0.595
4,0.97
23,0.568
23,0.693
18,0.174
18,0.299
18,0.424
23,1.559
20,0.663
20,0.913
20,0.538
11,0.414
11,0.289
2,0.958
2,0.583
2,0.708
2,0.833
18,0.141
12,0.852
12,0.477
12,0.602
12,0.727
12,0.352
8,1.531
8,1.281
8,1.031
8,1.156
8,1.781
18,0.608
18,0.983
18,0.358
18,0.733
9,0.279
9,0.529
9,0.779
9,0.404
9,0.654
12,1.343
3,2.784
19,0.296
19,0.421
10,0.715
10,0.84
10,0.965
10,0.59
21,0.242
21,0.742
21,0.617
21,0.367
12,0.286
14,0.277
14,0.527
14,0.402
14,0.777
14,0.652
14,0.902
5,0.446
5,0.321
5,0.196
7,0.642
7,0.892
7,0.767
10,1.081
7,0.392
10,1.331
10,1.831
7,0.267
13,0.349
13,0.474
13,0.974
14,1.018
14,1.143
8,0.33
8,0.455
5,0.163
3,0.686
3,0.811
6,1.125
6,1.625
3,0.561
3,0.936
6,1.875
23,0.792
23,0.667
23,0.542
20,0.418
18,1.92
18,1.045
13,0.283
13,0.408
15,0.649
15,0.399
15,0.524
15,0.274
15,0.774
3,1.427
3,1.302
3,1.552
6,0.443
6,0.318
6,0.193
22,2.801
11,1.16
11,1.285
11,1.66
8,0.139
8,0.264
8,0.764
8,0.389
8,0.514
8,0.639
8,0.889
1,0.549
1,0.799
1,0.924
1,0.674
9,0.284
9,0.409
6,0.16
3,1.142
3,1.017
3,1.517
3,1.392
6,0.058
22,0.343
4,0.515
4,0.265
4,0.14
4,0.765
4,0.39
4,0.64
4,0.89
7,1.329
7,1.704
7,1.079
1,1.29
1,1.165
5,1.602
5,1.102
16,0.478
16,0.603
16,0.728
16,0.353
16,0.978
4,1.131
4,1.006
4,0.232
4,1.506
1,1.005
1,1.13
1,1.38
23,0.205
9,0.593
9,0.718
11,0.334
11,0.459
2,0.378
2,0.503
2,0.628
2,0.128
2,0.753
5,1.067
2,0.878
2,0.253
5,1.442
4,0.199
4,0.324
4,0.449
23,0.172
23,0.297
14,0.716
14,0.591
2,1.369
2,1.119
2,0.22
2,1.494
2,1.244
2,1.744
18,0.528
18,0.278
18,0.403
18,0.903
18,0.653
18,0.778
3,0.158
17,0.975
17,0.725
20,1.414
17,0.475
17,0.6
20,1.164
17,0.35
21,0.662
21,0.912
12,0.331
12,0.456
3,0.5
3,-0.0
3,0.125
3,0.375
3,0.625
3,0.75
3,0.875
3,0.25
22,1.124
17,1.091
7,0.687
7,0.562
7,0.812
7,0.937
10,0.227
1,0.146
15,0.588
15,0.713
15,0.963
3,0.092
3,0.217
19,0.4
19,0.275
19,0.65
19,0.525
19,0.775
19,0.9
13,1.76
10,2.242
13,1.635
10,0.444
10,0.194
10,0.319
1,0.738
1,0.488
1,0.238
1,0.613
1,0.363
1,0.988
1,0.863
5,0.8
5,0.675
5,0.55
22,0.407
22,0.282
13,0.328
13,0.203
13,0.453
4,0.579
23,1.203
8,0.809
8,0.559
8,0.684
23,1.418
23,1.293
23,1.793
19,1.872
20,0.897
20,0.522
20,0.647
20,0.397
8,1.675
8,1.05
2,0.567
2,0.942
2,0.817
2,0.692
12,1.112
6,0.547
6,0.797
6,0.922
8,1.015
8,1.14
18,0.842
18,0.592
9,0.638
9,0.263
9,0.388
9,0.138
9,0.888
12,1.202
16,1.014
7,0.159
10,0.699
10,0.574
10,0.949
10,0.824
7,0.057
21,0.351
21,0.601
21,0.476
9,1.504
9,1.254
9,0.23
14,0.261
14,0.511
14,0.636
14,0.761
14,0.886
3,0.689
3,0.564
3,0.814
6,1.378
6,1.003
5,0.18
5,0.305
5,0.43
16,0.332
7,0.126
7,0.626
7,0.751
7,0.376
10,1.44
7,0.251
7,0.876
7,0.501
14,1.252
14,1.877
5,0.147
18,1.689
19,0.714
19,0.589
19,0.839
8,0.11
23,0.401
23,0.276
23,0.526
14,0.195
14,0.32
14,0.445
8,0.156
18,1.279
18,1.779
15,0.258
15,0.508
8,0.077
15,0.633
15,0.758
15,0.883
3,1.661
3,1.036
6,0.177
6,0.302
6,0.427
17,0.329
17,0.454
11,1.769
11,1.144
11,1.394
7,1.598
8,0.123
8,0.248
8,0.373
8,0.498
8,0.623
8,0.873
8,0.748
1,0.533
1,0.658
1,0.783
1,0.908
12,0.935
12,0.685
12,0.56
15,0.225
6,0.144
3,1.376
3,1.001
3,1.251
3,1.126
22,0.202
1,1.024
1,1.399
1,1.774
21,2.154
15,0.317
15,0.192
4,0.045
5,1.086
5,1.586
5,1.211
16,0.712
16,0.587
10,0.673
4,0.091
10,0.548
4,0.216
10,0.923
9,0.702
9,0.952
11,0.318
11,0.443
11,0.193
2,0.737
2,0.987
2,0.237
2,0.487
2,0.362
2,0.612
2,0.862
5,1.176
13,0.932
13,0.682
13,0.557
4,0.433
4,0.183
4,0.308
20,1.808
20,1.308
11,0.16
14,0.95
14,0.575
14,0.7
14,0.825
2,1.103
2,1.228
2,0.204
11,0.058
12,2.148
18,0.762
18,0.262
18,0.387
18,0.637
18,0.887
18,0.512
18,0.137
11,0.127
11,0.627
11,0.752
20,1.398
11,0.377
17,0.834
17,0.709
11,0.502
11,0.252
11,0.877
12,0.042
21,0.646
21,0.396
13,1.388
12,0.19
3,0.359
3,0.484
3,0.609
3,0.859
17,1.2
17,1.075
17,1.825
17,1.325
12,0.111
7,0.796
7,0.546
7,0.671
12,0.157
15,0.697
15,0.822
19,0.384
19,0.509
19,0.259
19,0.759
19,0.884
19,0.634
10,0.428
10,0.178
10,0.303
1,0.597
1,0.347
1,0.472
1,0.722
1,0.847
21,0.33
9,2.38
5,0.534
5,0.659
5,0.909
5,0.784
16,0.936
16,0.561
19,1.875
16,0.686
19,0.226
16,0.811
13,0.312
13,0.437
10,0.145
4,0.938
4,0.688
4,0.563
4,0.813
23,1.187
20,0.164
13,0.108
8,0.918
8,0.543
8,0.793
15,1.419
23,1.027
20,0.256
20,0.631
13,0.075
20,0.506
12,1.471
12,1.096
6,0.281
6,0.656
6,0.781
6,0.906
6,0.531
17,0.558
20,0.855
20,0.223
9,0.076
18,0.576
18,0.701
9,0.122
9,0.497
12,1.311
12,1.436
9,0.247
9,0.872
12,1.561
9,0.372
16,1.123
22,0.556
16,0.224
22,0.806
9,0.043
22,0.681
10,1.209
10,1.959
7,0.143
21,0.585
9,1.238
9,1.113
9,0.214
9,0.089
9,1.363
5,0.414
5,0.289
16,0.441
16,0.316
7,0.61
7,0.235
10,1.174
7,0.985
7,0.36
7,0.485
7,0.735
10,1.049
23,0.168
11,0.672
11,0.547
14,0.212
14,0.087
2,0.466
2,0.341
16,0.158
19,0.823
19,0.698
19,0.948
19,0.029
23,0.385
23,0.135
23,0.51
23,0.885
23,0.635
23,0.26
23,0.76
11,1.038
17,0.221
14,0.429
14,0.179
14,0.304
5,0.723
5,0.348
5,0.598
5,0.973
5,0.473
5,0.848
21,2.083
3,1.27
3,1.145
6,0.286
6,0.411
17,0.438
11,1.003
11,1.253
11,1.878
7,1.207
8,0.607
8,0.357
8,0.857
8,0.482
8,0.732
1,0.642
1,0.517
1,0.392
1,0.892
1,0.767
21,2.798
1,0.267
17,0.109
12,0.794
12,0.919
12,0.544
3,0.463
3,0.338
17,0.155
20,0.695
20,0.82
22,0.311
1,1.008
1,0.234
22,0.107
15,0.426
15,0.176
15,0.301
5,1.445
6,0.47
6,0.345
6,0.72
5,1.195
6,0.845
6,0.595
16,0.696
16,0.946
4,1.224
10,0.532
10,0.657
4,1.724
4,1.099
1,0.201
1,0.326
1,0.451
22,0.074
2,1.122
2,1.247
2,1.872
2,0.346
2,0.471
5,1.285
5,1.035
2,0.721
2,0.846
2,0.596
2,0.971
13,0.666
13,0.541
4,0.417
4,0.292
20,1.042
20,1.542
11,0.144
2,1.212
2,1.462
18,0.121
18,0.371
18,0.621
18,0.746
17,1.094
17,1.469
17,1.219
11,0.236
11,0.736
11,0.861
11,0.611
17,0.568
11,0.361
11,0.486
17,0.818
17,0.693
18,0.213
18,0.088
16,2.268
12,0.299
12,0.174
12,0.424
3,0.593
3,0.968
3,0.843
3,0.718
22,1.092
7,0.655
7,0.28
7,0.53
7,0.405
7,0.78
21,1.371
21,0.222
9,2.399
12,0.141
19,0.493
19,0.368
19,0.743
19,0.243
22,1.057
10,0.287
1,0.706
1,0.581
1,0.831
21,0.439
23,0.68
23,0.02
12,0.983
12,0.733
12,0.358
12,0.858
12,0.608
5,0.518
5,0.893
5,0.268
5,0.393
5,0.643
5,0.768
16,0.545
16,0.67
16,0.795
19,1.484
16,0.92
7,0.339
7,0.464
3,2.091
13,0.296
8,0.402
8,0.527
8,0.777
8,0.652
8,0.277
20,0.615
20,0.49
20,0.24
20,0.365
20,0.865
8,1.768
16,1.376
16,1.251
12,1.955
12,1.205
6,0.265
6,0.14
6,0.515
6,0.89
6,0.64
6,0.39
6,0.765
17,0.792
17,0.667
17,0.542
20,0.207
8,0.461
8,0.336
9,0.731
9,0.481
12,1.045
9,0.356
12,1.42
6,1.631
6,1.256
6,0.232
6,1.006
22,0.54
22,0.79
22,0.665
10,1.943
4,0.462
4,0.337
21,0.819
9,1.597
16,0.175
16,0.425
16,0.3
7,0.344
7,0.469
7,0.594
10,1.158
7,0.969
7,0.844
10,1.033
10,1.908
10,1.658
10,1.533
23,0.152
11,0.281
11,0.906
14,1.345
11,0.531
11,0.781
11,0.406
11,0.656
14,1.47
14,1.97
2,0.2
2,0.325
2,0.45
23,0.073
16,0.142
4,0.646
4,0.396
4,0.771
4,0.896
4,0.271
4,0.521
7,1.335
7,1.085
23,0.119
23,0.744
23,0.494
23,0.244
11,1.147
14,0.413
14,0.288
2,0.167
5,0.957
5,0.707
5,0.582
5,0.832
3,1.504
3,1.004
3,1.629
23,0.211
23,0.086
17,0.297
17,0.422
17,0.172
8,0.591
8,0.841
12,0.278
12,0.653
12,0.403
12,0.903
12,0.778
12,0.528
3,0.322
3,0.197
3,0.447
4,1.118
22,0.42
22,0.295
4,1.368
1,1.742
1,1.242
1,0.093
1,0.218
1,1.992
15,0.41
15,0.285
3,0.164
5,1.179
6,0.704
6,0.829
6,0.579
4,1.458
10,0.266
10,0.391
10,0.516
10,0.641
4,1.083
10,0.766
1,0.06
1,0.31
1,0.185
1,0.435
2,1.356
2,1.106
22,0.729
22,0.479
13,0.525
13,0.275
13,0.4
13,0.9
20,1.026
20,1.276
20,1.401
2,1.571
2,1.196
18,0.855
18,0.73
18,0.48
18,0.98
18,0.355
11,0.595
11,0.47
11,0.345
11,0.72
3,0.952
3,0.702
3,0.827
3,0.577
17,1.168
21,1.105
18,0.289
9,0.46
9,0.335
19,0.352
19,0.852
19,0.477
22,1.416
7,0.231
1,0.94
1,0.815
1,0.565
21,0.423
21,0.298
12,0.967
12,0.717
12,0.842
15,1.156
15,1.406
14,0.458
14,0.333
12,0.592
5,0.502
5,0.127
5,0.377
5,0.252
5,0.627
5,0.752
16,0.779
16,0.529
16,0.279
16,0.404
19,1.093
16,0.654
7,0.198
7,0.448
7,0.323
2,0.554
2,0.679
2,0.804
5,0.219
5,0.094
19,0.286
5,0.015
3,2.415
14,0.517
14,0.392
20,0.474
14,0.267
14,0.892
14,0.642
20,0.974
20,0.724
8,1.252
8,1.002
8,0.228
8,1.127
12,1.689
13,0.589
12,1.064
13,0.714
13,0.839
13,0.964
15,0.33
6,0.749
6,0.624
6,0.124
6,0.249
6,0.874
6,0.374
6,0.499
17,0.526
17,0.401
17,0.276
8,0.195
8,0.32
8,0.445
10,0.561
10,0.811
10,0.936
10,0.686
6,0.045
9,1.616
9,0.59
9,0.965
9,0.715
12,1.154
12,1.279
12,1.654
9,0.84
3,0.551
3,0.676
3,0.926
6,1.115
6,0.091
6,0.216
22,0.274
22,0.774
22,0.524
10,1.052
9,1.456
2,0.548
16,0.409
16,0.284
4,0.163
7,0.578
7,0.703
10,1.142
10,1.017
10,1.892
11,0.265
11,0.14
11,0.765
11,0.39
11,0.515
11,0.64
11,0.89
2,0.059
2,0.184
2,0.434
2,0.309
4,0.255
4,0.755
4,0.505
7,1.194
4,0.63
7,1.319
4,0.38
4,0.88
4,0.13
2,0.105
23,0.353
23,0.478
11,1.506
11,1.006
11,0.232
11,1.256
11,1.131
5,0.691
5,0.566
5,0.816
5,0.941
21,2.801
18,0.459
2,0.072
3,1.238
3,1.113
8,0.7
8,0.575
8,0.95
8,0.825
21,0.343
21,0.468
12,0.762
12,0.512
12,0.262
12,0.137
12,0.387
12,0.637
3,0.181
3,0.306
3,0.431
19,2.039
4,1.602
10,0.158
1,1.476
1,1.226
1,1.851
1,1.101
10,0.056
12,0.229
10,0.079
3,0.148
5,1.663
6,0.563
6,0.688
6,0.938
5,1.913
5,1.163
19,0.331
19,0.456
4,1.192
10,-0.0
10,0.125
10,0.375
10,0.75
10,0.625
10,0.5
4,1.317
10,0.875
10,0.25
1,0.294
1,0.419
21,0.277
21,0.527
21,0.777
21,0.402
21,0.652
21,0.902
14,0.562
14,0.812
14,0.937
2,1.09
2,1.465
22,0.963
22,0.838
22,0.588
13,0.384
13,0.759
13,0.259
10,0.092
10,0.217
13,0.634
20,1.135
2,1.055
2,1.18
2,1.555
2,1.305
2,1.93
2,1.68
13,1.0
13,1.375
13,0.226
20,0.328
10,2.123
20,0.203
20,0.453
11,0.704
11,0.829
11,0.579
11,0.954
21,1.749
15,0.559
15,0.684
15,0.934
20,0.17
15,1.675
15,1.925
9,0.194
9,0.444
9,0.319
18,2.087
19,1.112
4,0.675
4,0.8
4,0.55
7,0.09
7,0.215
21,0.407
21,0.282
9,0.161
12,0.701
12,0.576
15,1.015
15,1.39
12,0.826
5,0.611
5,0.361
5,0.236
5,0.486
5,0.736
5,0.861
16,0.513
16,0.638
16,0.888
16,0.388
16,0.138
16,0.763
19,1.327
7,0.307
7,0.182
7,0.432
23,1.139
23,1.014
14,0.159
7,0.103
2,0.913
2,0.788
2,0.538
14,0.057
16,0.23
10,0.564
10,0.689
23,0.332
23,0.457
14,0.126
20,0.958
20,0.708
14,0.376
14,0.751
14,0.626
20,0.583
14,0.251
8,1.736
14,0.501
8,0.212
5,0.42
5,0.295
12,1.423
13,0.698
13,0.573
13,0.948
12,1.048
15,0.439
1,0.014
6,0.858
6,0.483
6,0.983
6,0.358
13,0.029
17,0.26
17,0.76
17,0.635
17,0.385
16,1.985
16,1.11
17,0.51
15,0.11
8,0.179
8,0.304
8,0.429
5,2.183
1,0.464
1,0.339
9,1.1
9,1.475
15,0.156
3,0.91
3,0.535
3,0.66
6,1.099
3,0.785
22,0.383
22,0.508
22,0.258
22,0.758
18,1.394
14,1.348
15,0.123
15,0.498
15,0.373
14,1.473
15,0.748
9,1.19
9,1.065
14,1.098
14,1.223
19,0.56
19,0.935
4,0.147
10,1.626
10,1.251
10,1.001
1,0.398
1,0.523
1,0.648
1,0.773
1,0.898
1,0.273
11,0.124
11,0.749
14,1.188
14,1.063
11,0.874
11,0.374
11,0.624
11,0.249
14,1.313
2,0.418
2,0.293
11,0.045
4,0.364
4,0.739
4,0.239
4,0.614
4,0.489
7,1.303
7,1.678
7,1.053
4,0.989
23,0.837
11,1.115
11,1.365
11,0.091
11,0.216
16,0.827
16,0.952
16,0.577
16,0.702
18,0.193
18,0.443
18,0.318
11,0.433
11,0.308
11,0.183
1,1.245
1,1.495
1,1.12
18,0.16
12,0.621
12,0.121
12,0.746
12,0.496
12,0.871
12,0.371
3,0.415
18,0.058
4,1.086
1,1.085
1,1.335
1,1.585
9,0.673
9,0.548
12,0.088
12,0.213
5,1.147
5,1.522
19,0.19
10,0.484
10,0.359
10,0.984
10,0.734
10,0.859
21,0.261
21,0.886
21,0.511
19,0.111
12,0.18
12,0.305
12,0.43
14,0.546
14,0.671
2,1.074
2,1.449
5,0.34
5,0.465
22,0.572
22,0.697
7,0.786
13,0.368
13,0.243
13,0.493
13,0.868
13,0.618
7,0.661
7,0.536
13,0.743
19,0.078
17,0.93
17,0.68
17,0.805
20,1.119
20,1.369
17,0.555
2,1.164
2,1.039
13,1.109
13,1.234
13,1.609
23,0.686
23,0.561
23,0.811
23,0.936
17,1.046
17,1.796
20,0.312
20,0.187
11,0.688
11,0.563
20,0.108
15,0.668
15,0.543
6,0.462
6,0.337
17,1.011
22,1.169
17,1.636
21,1.323
15,1.784
9,0.178
9,0.303
9,0.428
19,1.221
19,1.096
4,0.659
4,0.909
4,0.534
4,0.784
16,0.076
9,0.145
16,0.122
16,0.372
16,0.622
19,1.061
16,0.997
16,0.497
16,0.747
16,0.872
7,0.291
7,0.416
23,0.099
23,0.224
16,0.043
14,0.143
2,0.897
2,0.272
2,0.397
2,0.522
2,0.647
16,1.738
16,0.089
16,0.214
7,2.804
23,0.191
23,0.316
23,0.066
23,0.441
14,0.235
14,0.86
14,0.985
14,0.61
14,0.735
8,1.595
5,2.077
8,1.345
23,0.112
18,0.672
17,0.073
12,1.282
6,1.118
6,0.842
6,0.717
6,0.967
6,0.592
23,0.033
23,0.158
17,0.369
17,0.244
17,0.494
17,0.619
17,0.994
8,0.288
8,0.413
5,2.042
1,2.121
9,1.459
3,0.644
3,0.769
3,0.394
3,0.269
3,0.519
22,0.617
22,0.367
22,0.492
22,0.742
10,1.27
1,0.165
18,1.253
9,1.299
9,1.174
15,0.607
15,0.357
15,0.857
15,0.732
19,0.669
19,0.544
19,0.794
7,1.447
7,1.697
7,1.197
10,0.463
10,0.338
1,0.382
1,0.257
1,0.507
1,0.757
1,0.632
1,0.882
22,0.176
22,0.301
13,2.52
4,0.473
4,0.348
4,0.973
7,1.287
4,0.848
4,0.598
7,1.037
4,0.723
23,0.696
23,0.946
23,0.571
11,1.849
18,0.302
18,0.177
18,0.427
20,0.541
20,0.666
11,0.417
11,0.292
2,0.586
2,0.711
5,1.4
5,1.025
5,1.525
2,0.961
5,1.15
5,1.275
1,1.729
1,1.854
1,1.604
1,1.354
18,0.144
19,2.257
21,0.107
4,1.445
4,1.32
1,1.069
1,1.819
21,0.153
18,0.236
18,0.486
18,0.611
18,0.861
18,0.361
18,0.986
9,0.657
9,0.782
9,0.532
9,0.907
21,0.074
19,0.424
10,0.718
10,0.968
10,0.593
10,0.843
21,0.495
21,0.37
21,0.245
21,0.745
12,0.414
12,0.289
8,0.258
8,0.883
14,0.28
14,0.53
14,0.405
14,0.655
14,0.905
2,1.183
3,0.833
2,1.058
3,0.958
3,0.708
3,0.583
5,0.199
5,0.324
5,0.449
2,1.808
16,2.024
19,0.141
7,0.77
7,0.395
7,0.52
7,0.27
13,0.602
13,0.352
13,0.727
7,0.645
8,0.333
8,0.458
5,0.166
2,1.273
2,1.148
2,1.648
13,1.218
13,1.343
13,1.718
13,1.093
23,0.795
23,0.545
17,1.155
14,0.339
14,0.464
10,2.091
20,0.296
20,0.421
21,1.592
13,0.286
15,0.277
15,0.652
15,0.777
15,0.402
6,0.321
6,0.446
6,0.196
8,0.267
8,0.392
8,0.892
8,0.517
1,0.927
1,0.677
1,0.552
1,0.802
15,1.018
15,1.268
9,0.412
9,0.287
6,0.163
19,1.455
19,1.205
4,0.768
4,0.393
4,0.518
4,0.268
10,2.021
4,0.643
16,0.731
16,0.606
19,1.17
16,0.856
23,1.232
23,1.607
23,1.482
9,0.471
9,0.971
9,0.346
12,1.535
9,0.596
11,0.462
11,0.337
9,0.846
8,1.489
8,1.364
12,1.91
2,0.256
2,0.631
2,0.506
2,0.881
2,0.756
2,0.381
16,1.097
16,1.472
4,0.452
4,0.327
4,0.202
23,0.3
23,0.425
23,0.175
14,0.344
14,0.469
14,0.719
14,0.594
14,0.969
8,1.454
5,2.561
2,0.223
8,1.329
1,2.265
18,0.281
18,0.531
18,0.781
18,0.656
6,1.227
23,0.142
17,0.603
17,0.353
17,0.853
17,0.728
21,0.54
21,0.79
21,0.665
9,1.318
9,1.693
12,0.459
3,0.253
3,0.128
3,0.503
3,0.878
3,0.378
3,0.753
1,0.103
10,1.254
10,1.504
10,1.629
5,0.028
14,1.316
15,0.716
15,0.841
14,1.566
9,1.283
9,1.658
9,1.033
3,1.494
3,1.744
3,0.22
3,0.095
19,0.653
19,0.278
19,0.528
19,0.403
19,0.903
7,1.056
10,0.197
10,0.447
10,0.322
1,0.366
1,0.866
1,0.241
1,0.741
1,0.491
1,0.991
11,1.368
11,1.118
5,0.678
5,0.553
5,0.803
22,0.41
13,0.331
13,0.456
4,0.832
4,0.707
7,1.396
7,1.146
7,1.021
4,0.582
11,1.083
8,0.812
8,0.562
8,0.687
4,1.198
4,1.323
20,0.4
20,0.275
20,0.65
20,0.9
20,0.775
2,0.57
2,0.82
5,1.884
5,1.259
5,1.634
5,1.509
5,1.134
5,1.384
1,1.463
1,1.088
5,1.009
6,0.675
6,0.8
6,0.55
18,0.345
18,0.47
18,0.72
18,0.595
18,0.845
9,0.391
9,0.266
9,0.641
9,0.516
19,0.283
7,0.162
10,0.952
10,0.577
10,0.702
21,0.854
21,0.604
21,0.729
21,0.354
21,0.479
20,1.122
9,0.233
20,1.497
2,1.292
3,0.942
3,0.817
3,0.692
3,0.567
5,0.433
5,0.183
5,0.308
16,0.335
16,0.46
7,0.754
7,0.379
7,0.629
7,0.254
7,0.504
7,0.129
7,0.879
5,0.104
14,0.231
5,0.15
19,0.967
19,0.717
22,1.781
22,1.031
19,0.842
8,0.113
23,0.529
23,0.279
23,0.654
23,0.779
17,1.139
17,1.264
17,1.014
14,0.198
14,0.448
14,0.323
8,0.159
5,0.242
5,0.617
5,0.742
5,0.367
5,0.492
5,0.992
8,0.057
21,1.076
15,0.636
15,0.386
15,0.261
15,0.511
6,0.305
